,醫事機構名稱,藥局調劑慢性病連續處方箋之案件數,醫院及藥局調劑慢性病連續處方箋案件數,慢性病連續處方箋釋出率,所屬分區業務組指標值,全國指標值,year,quarter
1380,國立陽明交通大學附設醫院,32934,79684,0.4133,0.4296,0.3861,109,3
1381,國立陽明交通大學附設醫院,24331,69943,0.3479,0.3866,0.3431,106,3
1382,國立陽明交通大學附設醫院,28946,76336,0.3792,0.3971,0.3538,108,3
1383,國立陽明交通大學附設醫院,34719,81935,0.4237,0.4617,0.4129,110,4
1384,國立陽明交通大學附設醫院,16683,58332,0.286,0.364,0.327,104,4
1385,國立陽明交通大學附設醫院,36013,81247,0.4433,0.4783,0.4262,111,2
1386,國立陽明交通大學附設醫院,22605,65932,0.3429,0.3834,0.3413,106,1
1387,國立陽明交通大學附設醫院,31914,75861,0.4207,0.4408,0.3945,109,2
1388,國立陽明交通大學附設醫院,25729,71378,0.3605,0.3911,0.3468,107,1
1389,國立陽明交通大學附設醫院,35112,82453,0.4258,0.4651,0.4176,111,3
1390,國立陽明交通大學附設醫院,23065,67654,0.3409,0.383,0.3408,106,2
1391,國立陽明交通大學附設醫院,33761,81356,0.415,0.4311,0.3868,109,4
1392,國立陽明交通大學附設醫院,12576,53638,0.2345,0.3435,0.313,103,3
1393,國立陽明交通大學附設醫院,20038,62292,0.3217,0.3817,0.3402,105,3
1394,國立陽明交通大學附設醫院,14171,55509,0.2553,0.3457,0.3153,103,4
1395,國立陽明交通大學附設醫院,36891,86609,0.4259,0.47,0.4179,112,2
1396,國立陽明交通大學附設醫院,35933,84793,0.4238,0.4677,0.4166,111,4
1397,國軍桃園總醫院新竹分院附設民眾診療服務處,7678,26206,0.293,0.4102,0.4166,111,4
1398,國軍桃園總醫院新竹分院附設民眾診療服務處,1772,9759,0.1816,0.3171,0.313,103,3
1399,國軍桃園總醫院新竹分院附設民眾診療服務處,7703,25693,0.2998,0.4141,0.4179,112,2
1400,國軍桃園總醫院新竹分院附設民眾診療服務處,3064,11878,0.258,0.3326,0.3355,105,2
1401,國軍桃園總醫院新竹分院附設民眾診療服務處,5282,19365,0.2728,0.3776,0.3868,109,4
1402,國軍桃園總醫院新竹分院附設民眾診療服務處,3326,12777,0.2603,0.3351,0.3413,106,1
1403,國軍桃園總醫院新竹分院附設民眾診療服務處,7470,24796,0.3013,0.4135,0.4176,111,3
1404,國軍桃園總醫院新竹分院附設民眾診療服務處,3446,13166,0.2617,0.3387,0.3473,106,4
1405,國軍桃園總醫院新竹分院附設民眾診療服務處,5304,18338,0.2892,0.3857,0.3945,109,2
1406,國軍桃園總醫院新竹分院附設民眾診療服務處,3327,12570,0.2647,0.3321,0.3377,105,4
1407,國軍桃園總醫院新竹分院附設民眾診療服務處,7609,26133,0.2912,0.4115,0.4173,112,1
1408,國軍桃園總醫院新竹分院附設民眾診療服務處,2654,11312,0.2346,0.3229,0.3235,104,3
1409,國軍桃園總醫院新竹分院附設民眾診療服務處,3385,13029,0.2598,0.3335,0.3408,106,2
1410,國軍桃園總醫院新竹分院附設民眾診療服務處,3939,15876,0.2481,0.3433,0.3538,108,3
1411,國軍高雄總醫院屏東分院附設民眾診療服務處,819,4770,0.1717,0.2893,0.3331,105,1
1412,國軍高雄總醫院屏東分院附設民眾診療服務處,1710,6662,0.2567,0.3697,0.4129,110,4
1413,國軍高雄總醫院屏東分院附設民眾診療服務處,674,4869,0.1384,0.2815,0.311,103,2
1414,國軍高雄總醫院屏東分院附設民眾診療服務處,889,5087,0.1748,0.2999,0.3477,107,2
1415,國軍高雄總醫院屏東分院附設民眾診療服務處,1039,6062,0.1714,0.3086,0.3496,108,2
1416,國軍高雄總醫院屏東分院附設民眾診療服務處,1560,6631,0.2353,0.3546,0.3986,110,1
1417,國軍高雄總醫院屏東分院附設民眾診療服務處,674,4317,0.1561,0.287,0.3211,104,2
1418,國軍高雄總醫院屏東分院附設民眾診療服務處,963,5745,0.1676,0.3039,0.35,107,3
1419,國軍高雄總醫院屏東分院附設民眾診療服務處,1383,6270,0.2206,0.35,0.3945,109,2
1420,國軍高雄總醫院屏東分院附設民眾診療服務處,685,4223,0.1622,0.2934,0.3261,104,1
1421,國軍高雄總醫院屏東分院附設民眾診療服務處,1699,6514,0.2608,0.3737,0.4263,110,2
1422,國軍高雄總醫院屏東分院附設民眾診療服務處,668,4950,0.1349,0.2813,0.3072,103,1
1423,國軍高雄總醫院屏東分院附設民眾診療服務處,916,5078,0.1804,0.2983,0.3468,107,1
1424,高雄榮民總醫院,51947,146669,0.3542,0.2983,0.3468,107,1
1425,高雄榮民總醫院,52293,127035,0.4116,0.2813,0.3072,103,1
1426,高雄榮民總醫院,58114,148461,0.3914,0.3403,0.3839,109,1
1427,高雄榮民總醫院,63909,153689,0.4158,0.3711,0.4115,110,3
1428,高雄榮民總醫院,56665,132854,0.4265,0.2934,0.3261,104,1
1429,高雄榮民總醫院,51789,144829,0.3576,0.3039,0.35,107,3
1430,高雄榮民總醫院,52950,131571,0.4024,0.287,0.3211,104,2
1431,高雄榮民總醫院,62139,158964,0.3909,0.3411,0.3861,109,3
1432,高雄榮民總醫院,66289,159827,0.4148,0.3697,0.4129,110,4
1433,高雄榮民總醫院,62019,156418,0.3965,0.3434,0.3868,109,4
1434,高雄榮民總醫院,51580,144203,0.3577,0.2999,0.3477,107,2
1435,高雄榮民總醫院,54614,131455,0.4155,0.2815,0.311,103,2
1436,高雄榮民總醫院,66397,158271,0.4195,0.3786,0.4176,111,3
1437,高雄榮民總醫院,65955,154075,0.4281,0.3737,0.4263,110,2
1438,高雄榮民總醫院,52891,139653,0.3787,0.2893,0.3331,105,1
1439,高雄榮民總醫院,64793,156094,0.4151,0.3718,0.4108,111,1
1440,高雄榮民總醫院,50510,141540,0.3569,0.3064,0.3459,108,1
1441,高雄榮民總醫院,54411,150178,0.3623,0.3106,0.3538,108,3
1442,高雄榮民總醫院,52057,141652,0.3675,0.2936,0.3402,105,3
1443,高雄榮民總醫院,52528,144681,0.3631,0.3086,0.3496,108,2
1444,高雄榮民總醫院,52119,145712,0.3577,0.303,0.3481,107,4
1445,高雄榮民總醫院,56384,135132,0.4173,0.2847,0.3153,103,4
1446,高雄榮民總醫院,67000,155567,0.4307,0.3835,0.4262,111,2
1447,高雄榮民總醫院,65101,159129,0.4091,0.3546,0.3986,110,1
1448,高雄榮民總醫院,52383,147659,0.3548,0.2948,0.3431,106,3
1449,高雄榮民總醫院,53612,138304,0.3876,0.2867,0.327,104,4
1450,高雄榮民總醫院,50852,143258,0.355,0.2944,0.3408,106,2
1451,高雄榮民總醫院,54510,134470,0.4054,0.2862,0.3235,104,3
1452,高雄榮民總醫院,64991,155842,0.417,0.376,0.4173,112,1
1453,高雄榮民總醫院,54913,153374,0.358,0.309,0.351,108,4
1454,高雄榮民總醫院,51882,144163,0.3599,0.291,0.3377,105,4
1455,高雄榮民總醫院,59067,146951,0.402,0.35,0.3945,109,2
1456,高雄榮民總醫院,51837,146827,0.353,0.297,0.3473,106,4
1457,高雄榮民總醫院,50998,144306,0.3534,0.2946,0.3413,106,1
1458,高雄榮民總醫院,52096,138925,0.375,0.2903,0.3355,105,2
1459,高雄榮民總醫院,66365,157350,0.4218,0.3773,0.4179,112,2
1460,高雄榮民總醫院,55283,132761,0.4164,0.2822,0.313,103,3
1461,高雄榮民總醫院,67591,160417,0.4213,0.3762,0.4166,111,4
1462,慶昇醫療社團法人慶昇醫院,7539,14402,0.5235,0.42,0.4166,111,4
1463,慶昇醫療社團法人慶昇醫院,8247,15315,0.5385,0.42,0.4179,112,2
1464,慶昇醫療社團法人慶昇醫院,3358,7453,0.4506,0.4032,0.3868,109,4
1465,慶昇醫療社團法人慶昇醫院,588,1526,0.3853,0.3563,0.3413,106,1
1466,慶昇醫療社團法人慶昇醫院,772,2214,0.3487,0.3598,0.3473,106,4
1467,慶昇醫療社團法人慶昇醫院,2341,5582,0.4194,0.413,0.3945,109,2
1468,慶昇醫療社團法人慶昇醫院,564,1442,0.3911,0.3547,0.3377,105,4
1469,慶昇醫療社團法人慶昇醫院,8078,14796,0.546,0.4206,0.4173,112,1
1470,慶昇醫療社團法人慶昇醫院,1640,4317,0.3799,0.3706,0.3538,108,3
1471,慶昇醫療社團法人慶昇醫院,558,1689,0.3304,0.3547,0.3408,106,2
1472,慶昇醫療社團法人慶昇醫院,3120,7002,0.4456,0.4065,0.3861,109,3
1473,慶昇醫療社團法人慶昇醫院,661,1961,0.3371,0.3538,0.3431,106,3
1474,慶昇醫療社團法人慶昇醫院,1254,3406,0.3682,0.3617,0.3481,107,4
1475,慶昇醫療社團法人慶昇醫院,1291,3663,0.3524,0.3647,0.3459,108,1
1476,三軍總醫院松山分院附設民眾診療服務處,6728,26011,0.2587,0.3783,0.3377,105,4
1477,三軍總醫院松山分院附設民眾診療服務處,10351,33749,0.3067,0.391,0.3496,108,2
1478,三軍總醫院松山分院附設民眾診療服務處,12398,29905,0.4146,0.4595,0.4108,111,1
1479,三軍總醫院松山分院附設民眾診療服務處,6196,24081,0.2573,0.3753,0.3355,105,2
1480,三軍總醫院松山分院附設民眾診療服務處,10975,35106,0.3126,0.3971,0.3538,108,3
1481,三軍總醫院松山分院附設民眾診療服務處,9437,31285,0.3016,0.3941,0.35,107,3
1482,三軍總醫院松山分院附設民眾診療服務處,10106,33131,0.305,0.3849,0.3459,108,1
1483,三軍總醫院松山分院附設民眾診療服務處,4169,10445,0.3991,0.4607,0.4115,110,3
1484,三軍總醫院松山分院附設民眾診療服務處,4611,21409,0.2154,0.3416,0.311,103,2
1485,三軍總醫院松山分院附設民眾診療服務處,9176,30225,0.3036,0.3908,0.3477,107,2
1486,三軍總醫院松山分院附設民眾診療服務處,12381,36802,0.3364,0.4311,0.3839,109,1
1487,三軍總醫院松山分院附設民眾診療服務處,4553,20798,0.2189,0.3385,0.3072,103,1
1488,國軍桃園總醫院附設民眾診療服務處,7618,33050,0.2305,0.3095,0.3072,103,1
1489,國軍桃園總醫院附設民眾診療服務處,13134,52674,0.2493,0.337,0.3468,107,1
1490,國軍桃園總醫院附設民眾診療服務處,18837,62646,0.3007,0.3736,0.3839,109,1
1491,國軍桃園總醫院附設民眾診療服務處,7800,33712,0.2314,0.3147,0.311,103,2
1492,國軍桃園總醫院附設民眾診療服務處,13659,53137,0.2571,0.3417,0.3477,107,2
1493,國軍桃園總醫院附設民眾診療服務處,24653,69443,0.355,0.4052,0.4108,111,1
1494,國軍桃園總醫院附設民眾診療服務處,9717,42232,0.2301,0.3288,0.3331,105,1
1495,國軍桃園總醫院附設民眾診療服務處,17307,63529,0.2724,0.3391,0.351,108,4
1496,國軍桃園總醫院附設民眾診療服務處,26229,74816,0.3506,0.4115,0.4173,112,1
1497,國軍桃園總醫院附設民眾診療服務處,10239,42814,0.2392,0.336,0.3402,105,3
1498,國軍桃園總醫院附設民眾診療服務處,22121,69151,0.3199,0.3924,0.3986,110,1
1499,國軍桃園總醫院附設民眾診療服務處,8298,36511,0.2273,0.316,0.3153,103,4
1500,國軍桃園總醫院附設民眾診療服務處,15110,57677,0.262,0.3373,0.3481,107,4
1501,國軍桃園總醫院附設民眾診療服務處,15426,57383,0.2688,0.334,0.3459,108,1
1502,國軍桃園總醫院附設民眾診療服務處,11526,47937,0.2404,0.3365,0.3431,106,3
1503,國軍桃園總醫院附設民眾診療服務處,22821,60427,0.3777,0.4085,0.4115,110,3
1504,國軍桃園總醫院附設民眾診療服務處,9447,41815,0.2259,0.3251,0.327,104,4
1505,國軍桃園總醫院附設民眾診療服務處,8782,37523,0.234,0.3247,0.3261,104,1
1506,國軍桃園總醫院附設民眾診療服務處,20287,68042,0.2982,0.3751,0.3861,109,3
1507,國軍桃園總醫院附設民眾診療服務處,14431,55147,0.2617,0.3409,0.35,107,3
1508,國軍桃園總醫院附設民眾診療服務處,16952,61086,0.2775,0.3433,0.3538,108,3
1509,國軍桃園總醫院附設民眾診療服務處,24193,68047,0.3555,0.4065,0.4129,110,4
1510,國軍桃園總醫院附設民眾診療服務處,10920,46153,0.2366,0.3335,0.3408,106,2
1511,國軍桃園總醫院附設民眾診療服務處,25574,70068,0.365,0.4227,0.4262,111,2
1512,國軍桃園總醫院附設民眾診療服務處,9168,39468,0.2323,0.3229,0.3235,104,3
1513,國軍桃園總醫院附設民眾診療服務處,10348,45314,0.2284,0.3321,0.3377,105,4
1514,國軍桃園總醫院附設民眾診療服務處,19525,64050,0.3048,0.3857,0.3945,109,2
1515,國軍桃園總醫院附設民眾診療服務處,11907,49579,0.2402,0.3387,0.3473,106,4
1516,國軍桃園總醫院附設民眾診療服務處,16103,58749,0.2741,0.3398,0.3496,108,2
1517,國軍桃園總醫院附設民眾診療服務處,8721,37553,0.2322,0.3218,0.3211,104,2
1518,國軍桃園總醫院附設民眾診療服務處,24112,65043,0.3707,0.4166,0.4263,110,2
1519,國軍桃園總醫院附設民眾診療服務處,20395,67931,0.3002,0.3776,0.3868,109,4
1520,國軍桃園總醫院附設民眾診療服務處,25915,72921,0.3554,0.4135,0.4176,111,3
1521,國軍桃園總醫院附設民眾診療服務處,10734,45189,0.2375,0.3351,0.3413,106,1
1522,國軍桃園總醫院附設民眾診療服務處,9716,41741,0.2328,0.3326,0.3355,105,2
1523,國軍桃園總醫院附設民眾診療服務處,8210,35023,0.2344,0.3171,0.313,103,3
1524,國軍桃園總醫院附設民眾診療服務處,26356,75153,0.3507,0.4102,0.4166,111,4
1525,國軍桃園總醫院附設民眾診療服務處,26383,74667,0.3533,0.4141,0.4179,112,2
1526,國軍臺中總醫院附設民眾診療服務處,13796,38017,0.3629,0.3587,0.4179,112,2
1527,國軍臺中總醫院附設民眾診療服務處,13905,37919,0.3667,0.3586,0.4166,111,4
1528,國軍臺中總醫院附設民眾診療服務處,6937,28844,0.2405,0.2658,0.313,103,3
1529,國軍臺中總醫院附設民眾診療服務處,11314,34110,0.3317,0.3325,0.3868,109,4
1530,國軍臺中總醫院附設民眾診療服務處,7952,29726,0.2675,0.2908,0.3355,105,2
1531,國軍臺中總醫院附設民眾診療服務處,9097,32228,0.2823,0.2963,0.3413,106,1
1532,國軍臺中總醫院附設民眾診療服務處,10127,25207,0.4018,0.2981,0.3496,108,2
1533,國軍臺中總醫院附設民眾診療服務處,11825,33919,0.3486,0.3422,0.3986,110,1
1534,國軍臺中總醫院附設民眾診療服務處,7401,29602,0.25,0.2742,0.3211,104,2
1535,國軍臺中總醫院附設民眾診療服務處,9936,28893,0.3439,0.3041,0.3473,106,4
1536,衛生福利部桃園醫院,26101,67563,0.3863,0.3247,0.3261,104,1
1537,衛生福利部桃園醫院,50706,111687,0.454,0.3736,0.3839,109,1
1538,衛生福利部桃園醫院,26612,68621,0.3878,0.3218,0.3211,104,2
1539,衛生福利部桃園醫院,44793,109972,0.4073,0.3398,0.3496,108,2
1540,衛生福利部桃園醫院,41881,104368,0.4013,0.334,0.3459,108,1
1541,衛生福利部桃園醫院,22644,61626,0.3674,0.3095,0.3072,103,1
1542,衛生福利部桃園醫院,37648,92872,0.4054,0.337,0.3468,107,1
1543,衛生福利部桃園醫院,41784,103714,0.4029,0.3373,0.3481,107,4
1544,衛生福利部桃園醫院,25890,68462,0.3782,0.316,0.3153,103,4
1545,衛生福利部花蓮醫院,2935,12881,0.2279,0.159,0.3153,103,4
1546,衛生福利部花蓮醫院,3299,12574,0.2624,0.2006,0.3481,107,4
1547,衛生福利部花蓮醫院,3791,13928,0.2722,0.1962,0.3468,107,1
1548,衛生福利部花蓮醫院,3408,13540,0.2517,0.1625,0.3211,104,2
1549,衛生福利部花蓮醫院,3268,11754,0.278,0.2105,0.3496,108,2
1550,衛生福利部花蓮醫院,4039,12649,0.3193,0.2531,0.3986,110,1
1551,衛生福利部花蓮醫院,3133,12835,0.2441,0.1655,0.3261,104,1
1552,衛生福利部花蓮醫院,2831,12442,0.2275,0.1493,0.311,103,2
1553,衛生福利部花蓮醫院,3549,13318,0.2665,0.2,0.35,107,3
1554,衛生福利部花蓮醫院,3932,12583,0.3125,0.2468,0.3945,109,2
1555,衛生福利部花蓮醫院,2491,11625,0.2143,0.1468,0.3072,103,1
1556,衛生福利部花蓮醫院,4048,14911,0.2715,0.1831,0.3402,105,3
1557,衛生福利部花蓮醫院,3519,13557,0.2596,0.1972,0.3477,107,2
1558,衛生福利部花蓮醫院,3624,14132,0.2564,0.1745,0.3331,105,1
1559,衛生福利部花蓮醫院,4207,11245,0.3741,0.2798,0.4176,111,3
1560,衛生福利部花蓮醫院,3409,12351,0.276,0.2149,0.351,108,4
1561,衛生福利部花蓮醫院,4306,11839,0.3637,0.2691,0.4173,112,1
1562,衛生福利部花蓮醫院,4265,11646,0.3662,0.2773,0.4166,111,4
1563,衛生福利部花蓮醫院,4708,12335,0.3817,0.2761,0.4263,110,2
1564,衛生福利部花蓮醫院,3705,14111,0.2626,0.193,0.3431,106,3
1565,衛生福利部花蓮醫院,3359,12002,0.2799,0.2071,0.3459,108,1
1566,衛生福利部花蓮醫院,3673,12037,0.3051,0.2361,0.3839,109,1
1567,衛生福利部花蓮醫院,4442,11273,0.394,0.2722,0.4115,110,3
1568,衛生福利部花蓮醫院,4220,13308,0.3171,0.2422,0.3861,109,3
1569,衛生福利部花蓮醫院,3739,14632,0.2555,0.1714,0.327,104,4
1570,衛生福利部花蓮醫院,3842,14102,0.2724,0.1892,0.3408,106,2
1571,衛生福利部花蓮醫院,3416,12257,0.2787,0.2133,0.3538,108,3
1572,衛生福利部花蓮醫院,4390,11818,0.3715,0.2691,0.4108,111,1
1573,衛生福利部花蓮醫院,3496,13790,0.2535,0.1677,0.3235,104,3
1574,衛生福利部花蓮醫院,4536,10235,0.4432,0.2908,0.4262,111,2
1575,衛生福利部花蓮醫院,3997,14862,0.2689,0.1836,0.3377,105,4
1576,衛生福利部花蓮醫院,3783,14147,0.2674,0.1955,0.3473,106,4
1577,衛生福利部花蓮醫院,4398,11948,0.3681,0.2695,0.4129,110,4
1578,衛生福利部花蓮醫院,2761,12601,0.2191,0.1545,0.313,103,3
1579,衛生福利部花蓮醫院,3972,14380,0.2762,0.1877,0.3413,106,1
1580,衛生福利部花蓮醫院,4168,12912,0.3228,0.2425,0.3868,109,4
1581,衛生福利部花蓮醫院,4268,11749,0.3633,0.2701,0.4179,112,2
1582,衛生福利部花蓮醫院,3795,14504,0.2617,0.1771,0.3355,105,2
1583,衛生福利部臺東醫院,675,9465,0.0713,0.1771,0.3355,105,2
1584,衛生福利部臺東醫院,1261,8638,0.146,0.2701,0.4179,112,2
1585,衛生福利部臺東醫院,998,9938,0.1004,0.2425,0.3868,109,4
1586,衛生福利部臺東醫院,694,9762,0.0711,0.1877,0.3413,106,1
1587,衛生福利部臺東醫院,567,10719,0.0529,0.1545,0.313,103,3
1588,衛生福利部臺東醫院,1257,8039,0.1564,0.2695,0.4129,110,4
1589,衛生福利部臺東醫院,774,10879,0.0711,0.1955,0.3473,106,4
1590,衛生福利部臺東醫院,672,9989,0.0673,0.1836,0.3377,105,4
1591,衛生福利部臺東醫院,1417,8282,0.1711,0.2908,0.4262,111,2
1592,衛生福利部臺東醫院,784,10718,0.0731,0.1677,0.3235,104,3
1593,衛生福利部臺東醫院,1361,8584,0.1586,0.2691,0.4108,111,1
1594,衛生福利部臺東醫院,806,10693,0.0754,0.2133,0.3538,108,3
1595,衛生福利部臺東醫院,723,9719,0.0744,0.1892,0.3408,106,2
1596,衛生福利部臺東醫院,858,11394,0.0753,0.1714,0.327,104,4
1597,衛生福利部臺東醫院,892,9915,0.09,0.2422,0.3861,109,3
1598,衛生福利部臺東醫院,1511,7058,0.2141,0.2722,0.4115,110,3
1599,衛生福利部臺東醫院,942,9915,0.095,0.2361,0.3839,109,1
1600,衛生福利部臺東醫院,878,11292,0.0778,0.2071,0.3459,108,1
1601,衛生福利部臺東醫院,781,10030,0.0779,0.193,0.3431,106,3
1602,衛生福利部臺東醫院,2510,8375,0.2997,0.2761,0.4263,110,2
1603,衛生福利部彰化醫院,19148,40785,0.4695,0.3422,0.3986,110,1
1604,衛生福利部彰化醫院,16127,37985,0.4246,0.2981,0.3496,108,2
1605,衛生福利部彰化醫院,12471,35083,0.3555,0.2742,0.3211,104,2
1606,衛生福利部彰化醫院,15256,37240,0.4097,0.2999,0.3468,107,1
1607,衛生福利部彰化醫院,11821,35386,0.3341,0.2571,0.3072,103,1
1608,衛生福利部彰化醫院,15779,37671,0.4189,0.2989,0.3459,108,1
1609,衛生福利部彰化醫院,12785,36447,0.3508,0.2701,0.3153,103,4
1610,衛生福利部彰化醫院,15802,38466,0.4108,0.3014,0.3481,107,4
1611,臺北榮民總醫院新竹分院,1576,13690,0.1151,0.316,0.3153,103,4
1612,臺北榮民總醫院新竹分院,3121,18718,0.1667,0.334,0.3459,108,1
1613,臺北榮民總醫院新竹分院,2965,18540,0.1599,0.3373,0.3481,107,4
1614,臺北榮民總醫院新竹分院,1589,12971,0.1225,0.3095,0.3072,103,1
1615,臺北榮民總醫院新竹分院,2612,16295,0.1603,0.337,0.3468,107,1
1616,臺北榮民總醫院新竹分院,3871,17959,0.2155,0.3736,0.3839,109,1
1617,臺北榮民總醫院新竹分院,5406,20618,0.2622,0.4166,0.4263,110,2
1618,臺北榮民總醫院新竹分院,1659,13723,0.1209,0.3218,0.3211,104,2
1619,臺北榮民總醫院新竹分院,3278,19445,0.1686,0.3398,0.3496,108,2
1620,臺北榮民總醫院新竹分院,2811,17394,0.1616,0.3409,0.35,107,3
1621,臺北榮民總醫院新竹分院,1665,13519,0.1232,0.3247,0.3261,104,1
1622,臺北榮民總醫院新竹分院,1557,13660,0.114,0.3147,0.311,103,2
1623,臺北榮民總醫院新竹分院,2619,16730,0.1565,0.3417,0.3477,107,2
1624,臺北榮民總醫院新竹分院,1941,14728,0.1318,0.3288,0.3331,105,1
1625,臺北榮民總醫院新竹分院,7075,23801,0.2973,0.4115,0.4173,112,1
1626,臺北榮民總醫院新竹分院,6104,22117,0.276,0.4052,0.4108,111,1
1627,臺北榮民總醫院新竹分院,3621,18490,0.1958,0.3391,0.351,108,4
1628,臺北榮民總醫院新竹分院,2213,15422,0.1435,0.336,0.3402,105,3
1629,臺北榮民總醫院新竹分院,4919,20284,0.2425,0.3924,0.3986,110,1
1630,臺北榮民總醫院新竹分院,2463,15811,0.1558,0.3365,0.3431,106,3
1631,臺北榮民總醫院新竹分院,1886,14637,0.1289,0.3251,0.327,104,4
1632,臺北榮民總醫院新竹分院,5813,21536,0.2699,0.4085,0.4115,110,3
1633,臺北榮民總醫院新竹分院,4579,19447,0.2355,0.3751,0.3861,109,3
1634,臺北榮民總醫院新竹分院,2282,15196,0.1502,0.3335,0.3408,106,2
1635,臺北榮民總醫院新竹分院,6022,21861,0.2755,0.4065,0.4129,110,4
1636,臺北榮民總醫院新竹分院,3420,20090,0.1702,0.3433,0.3538,108,3
1637,臺北榮民總醫院新竹分院,1747,13952,0.1252,0.3229,0.3235,104,3
1638,臺北榮民總醫院新竹分院,6645,22597,0.2941,0.4227,0.4262,111,2
1639,臺北榮民總醫院新竹分院,2233,15350,0.1455,0.3321,0.3377,105,4
1640,臺北榮民總醫院新竹分院,4387,18233,0.2406,0.3857,0.3945,109,2
1641,臺北榮民總醫院新竹分院,2575,15981,0.1611,0.3387,0.3473,106,4
1642,臺北榮民總醫院新竹分院,6739,22930,0.2939,0.4135,0.4176,111,3
1643,臺北榮民總醫院新竹分院,2309,15063,0.1533,0.3351,0.3413,106,1
1644,臺北榮民總醫院新竹分院,2008,14701,0.1366,0.3326,0.3355,105,2
1645,臺北榮民總醫院新竹分院,4580,19788,0.2315,0.3776,0.3868,109,4
1646,臺北榮民總醫院新竹分院,6885,23445,0.2937,0.4102,0.4166,111,4
1647,臺北榮民總醫院新竹分院,7179,24079,0.2981,0.4141,0.4179,112,2
1648,臺北榮民總醫院新竹分院,1605,13871,0.1157,0.3171,0.313,103,3
1649,燕巢靜和醫療社團法人燕巢靜和醫院,35,63,0.5556,0.3762,0.4166,111,4
1650,燕巢靜和醫療社團法人燕巢靜和醫院,35,77,0.4545,0.3773,0.4179,112,2
1651,燕巢靜和醫療社團法人燕巢靜和醫院,34,65,0.5231,0.2822,0.313,103,3
1652,燕巢靜和醫療社團法人燕巢靜和醫院,12,22,0.5455,0.2903,0.3355,105,2
1653,燕巢靜和醫療社團法人燕巢靜和醫院,36,70,0.5143,0.3786,0.4176,111,3
1654,燕巢靜和醫療社團法人燕巢靜和醫院,11,21,0.5238,0.297,0.3473,106,4
1655,燕巢靜和醫療社團法人燕巢靜和醫院,27,50,0.54,0.3434,0.3868,109,4
1656,燕巢靜和醫療社團法人燕巢靜和醫院,14,23,0.6087,0.2946,0.3413,106,1
1657,燕巢靜和醫療社團法人燕巢靜和醫院,22,43,0.5116,0.35,0.3945,109,2
1658,燕巢靜和醫療社團法人燕巢靜和醫院,35,70,0.5,0.376,0.4173,112,1
1659,燕巢靜和醫療社團法人燕巢靜和醫院,18,32,0.5625,0.291,0.3377,105,4
1660,燕巢靜和醫療社團法人燕巢靜和醫院,16,32,0.5,0.309,0.351,108,4
1661,燕巢靜和醫療社團法人燕巢靜和醫院,8,15,0.5333,0.2862,0.3235,104,3
1662,燕巢靜和醫療社團法人燕巢靜和醫院,13,24,0.5417,0.2944,0.3408,106,2
1663,燕巢靜和醫療社團法人燕巢靜和醫院,39,72,0.5417,0.3697,0.4129,110,4
1664,燕巢靜和醫療社團法人燕巢靜和醫院,9,19,0.4737,0.2867,0.327,104,4
1665,燕巢靜和醫療社團法人燕巢靜和醫院,13,19,0.6842,0.2948,0.3431,106,3
1666,燕巢靜和醫療社團法人燕巢靜和醫院,25,52,0.4808,0.3546,0.3986,110,1
1667,衛生福利部苗栗醫院,3560,19376,0.1837,0.3147,0.311,103,2
1668,衛生福利部苗栗醫院,3986,19842,0.2009,0.3218,0.3211,104,2
1669,衛生福利部苗栗醫院,5452,22970,0.2374,0.3398,0.3496,108,2
1670,衛生福利部苗栗醫院,7886,24833,0.3176,0.4166,0.4263,110,2
1671,衛生福利部苗栗醫院,5096,22451,0.227,0.3409,0.35,107,3
1672,衛生福利部苗栗醫院,6461,23893,0.2704,0.3736,0.3839,109,1
1673,衛生福利部苗栗醫院,3923,19534,0.2008,0.3247,0.3261,104,1
1674,衛生福利部苗栗醫院,4844,21877,0.2214,0.337,0.3468,107,1
1675,衛生福利部苗栗醫院,3568,19233,0.1855,0.3095,0.3072,103,1
1676,三軍總醫院附設民眾診療服務處,71214,182446,0.3903,0.3385,0.3072,103,1
1677,三軍總醫院附設民眾診療服務處,124943,259200,0.482,0.4311,0.3839,109,1
1678,三軍總醫院附設民眾診療服務處,103513,232740,0.4448,0.3908,0.3477,107,2
1679,三軍總醫院附設民眾診療服務處,79948,198735,0.4023,0.3557,0.3211,104,2
1680,三軍總醫院附設民眾診療服務處,109460,246149,0.4447,0.3918,0.3481,107,4
1681,三軍總醫院附設民眾診療服務處,82082,200560,0.4093,0.3593,0.3235,104,3
1682,三軍總醫院附設民眾診療服務處,145985,293746,0.497,0.4617,0.4129,110,4
1683,三軍總醫院附設民眾診療服務處,131564,280074,0.4697,0.4296,0.3861,109,3
1684,三軍總醫院附設民眾診療服務處,132192,279535,0.4729,0.4311,0.3868,109,4
1685,三軍總醫院附設民眾診療服務處,139939,270152,0.518,0.4875,0.4263,110,2
1686,三軍總醫院附設民眾診療服務處,73764,188903,0.3905,0.3416,0.311,103,2
1687,三軍總醫院附設民眾診療服務處,144121,292243,0.4932,0.4595,0.4108,111,1
1688,三軍總醫院附設民眾診療服務處,106608,238134,0.4477,0.3941,0.35,107,3
1689,三軍總醫院附設民眾診療服務處,108893,243928,0.4464,0.3849,0.3459,108,1
